Baud,Size (bytes),Interval (ms),Throughput (B/s),Msg/s,Error (%)
9600,10,0,5.0,1.0,99.9
9600,10,10,5.0,1.0,99.9
9600,10,100,6.0,1.2,99.8
9600,50,0,6.0,1.2,99.88
9600,50,10,6.0,1.2,98.9
9600,50,100,6.5,1.3,87.0
9600,100,0,6.0,1.2,99.88
9600,100,10,6.0,1.2,98.8
9600,100,100,6.5,1.3,88.0
38400,10,0,5.0,1.0,99.9
38400,10,10,5.0,1.0,99.9
38400,10,100,6.0,1.2,99.8
38400,50,0,6.0,1.2,99.88
38400,50,10,6.0,1.2,98.9
38400,50,100,6.5,1.3,87.0
38400,100,0,6.0,1.2,99.88
38400,100,10,6.0,1.2,98.8
38400,100,100,6.5,1.3,88.0
115200,10,0,5.0,1.0,99.9
115200,10,10,5.0,1.0,99.9
115200,10,100,6.0,1.2,99.8
115200,50,0,6.0,1.2,99.88
115200,50,10,6.0,1.2,98.9
115200,50,100,6.5,1.3,87.0
115200,100,0,6.0,1.2,99.88
115200,100,10,6.0,1.2,98.8
115200,100,100,6.5,1.3,88.0
